100 1000
45 24
6 45
20 38
13 23
48 79
10 85
32 14
6 21
18 39
37 87
6 81
17 93
49 79
31 38
33 85
22 10
15 99
32 53
22 29
18 53
11 21
29 22
27 54
43 43
7 68
39 25
29 20
40 47
45 89
28 83
17 100
9 15
47 39
23 20
19 22
29 45
34 91
28 30
28 55
18 95
22 99
48 92
9 87
45 31
39 41
15 69
29 44
45 98
40 38
48 51
8 39
7 50
30 44
9 37
41 50
18 93
36 60
46 68
14 43
13 41
40 78
21 84
32 84
30 56
19 27
37 73
10 16
12 29
45 30
48 64
43 18
29 58
43 69
38 42
40 11
48 24
48 78
22 92
26 24
23 65
15 68
5 43
37 32
37 23
45 48
45 74
43 35
14 57
15 79
38 10
43 51
36 12
12 56
24 40
8 40
41 20
10 72
9 78
13 26
47 70
